
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1  -0.2728584E-05   0.0000000E+00   0.0000000E+00   0.1651843E-02
      2   0.2993023E-06   0.5470853E-03   0.8707133E-04   0.0000000E+00
      3   0.1465597E-05   0.1210618E-02   0.1926759E-03   0.0000000E+00
      4   0.3173342E-05   0.1781388E-02   0.2835167E-03   0.0000000E+00
      5   0.4111978E-05   0.2027801E-02   0.3227346E-03   0.0000000E+00
      6   0.5439581E-05   0.2332291E-02   0.3711956E-03   0.0000000E+00
      7   0.3974761E+01   0.1993680E+01   0.3173041E+00   0.0000000E+00
      8   0.3974764E+01   0.1993681E+01   0.3173042E+00   0.0000000E+00
      9   0.5001659E+01   0.2236439E+01   0.3559403E+00   0.0000000E+00
     10   0.5001660E+01   0.2236439E+01   0.3559404E+00   0.0000000E+00
     11   0.7233408E+02   0.8504944E+01   0.1353604E+01   0.0000000E+00
     12   0.7233408E+02   0.8504945E+01   0.1353604E+01   0.0000000E+00
     13   0.8068912E+02   0.8982712E+01   0.1429643E+01   0.0000000E+00
     14   0.8068913E+02   0.8982713E+01   0.1429643E+01   0.0000000E+00
     15   0.2442491E+03   0.1562847E+02   0.2487348E+01   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.1257267E+01  -0.6395194E+00  -0.1233385E+04  -0.3836234E+02  -0.2605024E+03  -0.8013253E+00
      2   0.5244512E+03   0.2024006E+02  -0.6205766E+01   0.1501845E+05   0.5151299E+05   0.4762555E+04
      3  -0.8300722E+03   0.6208638E+03  -0.3372185E-01  -0.1745414E+05  -0.4344160E+05   0.4800150E+04
      4  -0.3909535E+03  -0.2447945E+02  -0.3128573E+01   0.1351437E+05  -0.4085140E+04  -0.9562500E+04
      5   0.4364017E+03   0.5655499E+01   0.1762689E+01   0.2587504E+05   0.4076456E+03  -0.1876436E+04
      6   0.4625238E+03   0.1065259E+04  -0.6841401E+00  -0.6134411E+05   0.2424407E+05  -0.3097939E+04
      7   0.1798652E-03  -0.1744691E-03  -0.1707257E-05   0.5742443E-02   0.1231230E-01  -0.1120371E-02
      8   0.2070239E-03  -0.1536210E-03   0.2036565E-05   0.4612573E-02   0.7678389E-02  -0.3114282E-02
      9  -0.4331005E-04  -0.1113126E-03  -0.1355367E-04  -0.4451707E-03  -0.4356604E-02  -0.2729824E-02
     10  -0.1067956E-03   0.3464314E-04   0.6130499E-05  -0.1390646E-01  -0.4595794E-03   0.5165022E-03
     11  -0.2037566E-04  -0.6630276E-04  -0.4369934E-06   0.3191654E-02  -0.1270807E-02   0.1324840E-03
     12   0.2096064E-04   0.9551932E-05  -0.9889072E-07  -0.1259352E-02   0.1095103E-02  -0.7549131E-04
     13  -0.8080433E-05   0.2847251E-05  -0.3565748E-06   0.1060870E-02  -0.5481296E-03  -0.9897781E-04
     14  -0.1162633E-05  -0.2460667E-04  -0.9880643E-06   0.9569907E-03  -0.6491452E-03  -0.9344211E-04
     15  -0.4625670E-05  -0.4925654E-05   0.7139198E-07   0.4822477E-04  -0.1903209E-03  -0.7743424E-05

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1580720E+01   0.4089850E+00   0.1521238E+07   0.1471669E+04   0.6786152E+05   0.6421222E+00
      2   0.2750490E+06   0.4096599E+03   0.3851153E+02   0.2255540E+09   0.2653588E+10   0.2268193E+08
      3   0.6890198E+06   0.3854719E+06   0.1137163E-02   0.3046471E+09   0.1887172E+10   0.2304144E+08
      4   0.1528447E+06   0.5992435E+03   0.9787968E+01   0.1826383E+09   0.1668837E+08   0.9144140E+08
      5   0.1904465E+06   0.3198466E+02   0.3107073E+01   0.6695175E+09   0.1661750E+06   0.3521011E+07
      6   0.2139283E+06   0.1134777E+07   0.4680477E+00   0.3763099E+10   0.5877751E+09   0.9597226E+07
      7   0.3235149E-07   0.3043948E-07   0.2914727E-11   0.3297565E-04   0.1515927E-03   0.1255230E-05
      8   0.4285889E-07   0.2359942E-07   0.4147596E-11   0.2127583E-04   0.5895765E-04   0.9698751E-05
      9   0.1875760E-08   0.1239050E-07   0.1837020E-09   0.1981770E-06   0.1897999E-04   0.7451942E-05
     10   0.1140529E-07   0.1200147E-08   0.3758302E-10   0.1933897E-03   0.2112132E-06   0.2667745E-06
     11   0.4151675E-09   0.4396056E-08   0.1909632E-12   0.1018666E-04   0.1614949E-05   0.1755202E-07
     12   0.4393486E-09   0.9123941E-10   0.9779374E-14   0.1585967E-05   0.1199251E-05   0.5698938E-08
     13   0.6529339E-10   0.8106838E-11   0.1271456E-12   0.1125445E-05   0.3004460E-06   0.9796606E-08
     14   0.1351715E-11   0.6054884E-09   0.9762711E-12   0.9158313E-06   0.4213895E-06   0.8731428E-08
     15   0.2139683E-10   0.2426207E-10   0.5096814E-14   0.2325629E-08   0.3622203E-07   0.5996062E-10
TOTAL     0.1521290E+07   0.1521290E+07   0.1521290E+07   0.5145458E+10   0.5145458E+10   0.1502830E+09

     T O T A L   E F F E C T I V E   M A S S

