"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.88466,1.0185,123.42,0.81751,-0.0086683,6.0516e-11,4.7807e-12,122.5,0.81748,1.0185,123.42,0.021582,-0.027672,-6.5966e-13,1,0,50.8,0,0
0.88476,1.1598,122.8,0.7672,-0.0089086,4.0715e-11,4.52e-12,121.84,0.76717,1.1599,122.8,0.021564,-0.027611,-6.5996e-13,1,0.1016,50.902,0,0
0.88486,1.3031,122.19,0.71893,-0.0091443,2.1713e-11,4.2593e-12,121.18,0.71892,1.3031,122.19,0.021547,-0.02755,-6.6027e-13,1,0.2032,51.003,0,0
0.88495,1.4483,121.59,0.67272,-0.0093755,3.5111e-12,3.9986e-12,120.53,0.67271,1.4483,121.59,0.02153,-0.027489,-6.6057e-13,1,0.3048,51.105,0,0
0.88505,1.5955,120.99,0.62855,-0.0096022,-1.3891e-11,3.7379e-12,119.88,0.62855,1.5955,120.99,0.021513,-0.027428,-6.6087e-13,1,0.4064,51.206,0,0
0.88515,1.7445,120.4,0.58644,-0.0098244,-3.0493e-11,3.4773e-12,119.23,0.58644,1.7445,120.4,0.021496,-0.027367,-6.6118e-13,1,0.508,51.308,0,0
0.88525,1.8955,119.81,0.54637,-0.010042,-4.6295e-11,3.2166e-12,118.59,0.54638,1.8955,119.81,0.02148,-0.027307,-6.6148e-13,1,0.6096,51.41,0,0
0.88535,2.0484,119.22,0.50835,-0.010255,-6.1298e-11,2.9559e-12,117.95,0.50836,2.0484,119.22,0.021463,-0.027246,-6.6179e-13,1,0.7112,51.511,0,0
0.88544,2.2033,118.64,0.47238,-0.010464,-7.5501e-11,2.6952e-12,117.31,0.4724,2.2033,118.64,0.021447,-0.027185,-6.6209e-13,1,0.8128,51.613,0,0
0.88554,2.36,118.07,0.43846,-0.010668,-8.8904e-11,2.4345e-12,116.68,0.43849,2.36,118.07,0.021431,-0.027124,-6.6239e-13,1,0.9144,51.714,0,0
0.88564,2.5187,117.5,0.40659,-0.010867,-1.0151e-10,2.1739e-12,116.05,0.40662,2.5187,117.5,0.021415,-0.027063,-6.627e-13,1,1.016,51.816,0,0
0.88574,2.6793,116.93,0.37677,-0.011062,-1.1331e-10,1.9132e-12,115.42,0.3768,2.6793,116.93,0.021399,-0.027002,-6.63e-13,1,1.1176,51.918,0,0
0.88584,2.8418,116.37,0.349,-0.011252,-1.2431e-10,1.6525e-12,114.79,0.34903,2.8418,116.37,0.021383,-0.026941,-6.6331e-13,1,1.2192,52.019,0,0
0.88593,3.0063,115.82,0.32328,-0.011438,-1.3452e-10,1.3918e-12,114.17,0.32331,3.0063,115.82,0.021368,-0.02688,-6.6361e-13,1,1.3208,52.121,0,0
0.88603,3.1727,115.26,0.2996,-0.011619,-1.4392e-10,1.1311e-12,113.55,0.29964,3.1726,115.26,0.021352,-0.026819,-6.6391e-13,1,1.4224,52.222,0,0
0.88613,3.341,114.72,0.27798,-0.011796,-1.5253e-10,8.7045e-13,112.94,0.27802,3.3409,114.72,0.021337,-0.026758,-6.6422e-13,1,1.524,52.324,0,0
0.88623,3.5112,114.18,0.2584,-0.011968,-1.6033e-10,6.0978e-13,112.32,0.25845,3.5111,114.18,0.021322,-0.026697,-6.6452e-13,1,1.6256,52.426,0,0
0.88632,3.6833,113.64,0.24088,-0.012136,-1.6734e-10,3.491e-13,111.71,0.24092,3.6833,113.64,0.021307,-0.026636,-6.6483e-13,1,1.7272,52.527,0,0
0.88642,3.8574,113.11,0.2254,-0.012299,-1.7354e-10,8.8414e-14,111.11,0.22545,3.8574,113.11,0.021293,-0.026576,-6.6513e-13,1,1.8288,52.629,0,0
