"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.7284,-0.051163,123.58,0.47189,-0.0033653,2.627e-11,-1.8144e-12,123.37,-0.051653,0.47239,123.58,0.021575,-0.027676,-1.7991e-13,1,0,50.8,0,0
2.7284,0.13858,123.05,0.46034,-0.0036604,-1.6979e-10,-1.8879e-12,122.75,-0.032254,0.63118,123.05,0.021558,-0.027615,-1.7999e-13,1,0.1016,50.902,0,0
2.7284,0.32822,122.52,0.44883,-0.0039533,-3.5785e-10,-1.9615e-12,122.13,-0.013648,0.7907,122.52,0.021541,-0.027554,-1.8007e-13,1,0.2032,51.003,0,0
2.7284,0.51776,121.99,0.43737,-0.0042438,-5.3792e-10,-2.035e-12,121.51,0.0041658,0.95097,121.99,0.021524,-0.027493,-1.8015e-13,1,0.3048,51.105,0,0
2.7284,0.70721,121.46,0.42595,-0.004532,-7.0999e-10,-2.1086e-12,120.89,0.021188,1.112,121.46,0.021507,-0.027432,-1.8023e-13,1,0.4064,51.206,0,0
2.7284,0.89655,120.94,0.41457,-0.0048179,-8.7405e-10,-2.1821e-12,120.28,0.037417,1.2737,120.94,0.02149,-0.027371,-1.8031e-13,1,0.508,51.308,0,0
2.7284,1.0858,120.41,0.40324,-0.0051015,-1.0301e-09,-2.2556e-12,119.66,0.052854,1.4362,120.41,0.021474,-0.027311,-1.804e-13,1,0.6096,51.41,0,0
2.7284,1.2749,119.88,0.39195,-0.0053828,-1.1782e-09,-2.3292e-12,119.05,0.0675,1.5994,119.88,0.021457,-0.02725,-1.8048e-13,1,0.7112,51.511,0,0
2.7284,1.464,119.35,0.3807,-0.0056618,-1.3183e-09,-2.4027e-12,118.43,0.081353,1.7634,119.35,0.021441,-0.027189,-1.8056e-13,1,0.8128,51.613,0,0
2.7284,1.653,118.83,0.3695,-0.0059385,-1.4504e-09,-2.4763e-12,117.82,0.094414,1.928,118.83,0.021425,-0.027128,-1.8064e-13,1,0.9144,51.714,0,0
2.7284,1.8418,118.3,0.35834,-0.0062129,-1.5744e-09,-2.5498e-12,117.2,0.10668,2.0935,118.3,0.021409,-0.027067,-1.8072e-13,1,1.016,51.816,0,0
2.7284,2.0306,117.77,0.34723,-0.0064849,-1.6905e-09,-2.6234e-12,116.59,0.11816,2.2596,117.77,0.021393,-0.027006,-1.808e-13,1,1.1176,51.918,0,0
2.7284,2.2192,117.25,0.33616,-0.0067547,-1.7986e-09,-2.6969e-12,115.97,0.12884,2.4265,117.25,0.021378,-0.026945,-1.8088e-13,1,1.2192,52.019,0,0
2.7284,2.4078,116.72,0.32513,-0.0070221,-1.8987e-09,-2.7704e-12,115.36,0.13874,2.5942,116.72,0.021362,-0.026884,-1.8096e-13,1,1.3208,52.121,0,0
2.7284,2.5962,116.19,0.31415,-0.0072872,-1.9908e-09,-2.844e-12,114.75,0.14784,2.7626,116.19,0.021347,-0.026823,-1.8105e-13,1,1.4224,52.222,0,0
