"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021343,-0.027164,0,4.5667,124.35,2.372,0.0018534,-1.0842e-19,0,120.89,2.372,4.5667,124.35,2.4885,1,0,50.8,0,0
0.021327,-0.027104,1.3553e-20,4.4994,123.66,2.2374,0.0015891,1.0842e-19,0,120.31,2.2374,4.4995,123.66,2.4885,1,0.1016,50.902,0,0
0.021311,-0.027044,0,4.4321,122.97,2.1028,0.0013248,0,0,119.72,2.1027,4.4322,122.97,2.4885,1,0.2032,51.003,0,0
0.021295,-0.026984,0,4.3649,122.28,1.9682,0.0010605,-1.0842e-19,-4.3368e-19,119.13,1.9681,4.3649,122.28,2.4885,1,0.3048,51.105,0,0
0.021278,-0.026924,1.3553e-20,4.2976,121.59,1.8336,0.00079624,0,0,118.54,1.8335,4.2976,121.59,2.4885,1,0.4064,51.206,0,0
0.021262,-0.026864,0,4.2303,120.9,1.699,0.00053197,-1.0842e-19,4.3368e-19,117.96,1.6989,4.2304,120.9,2.4885,1,0.508,51.308,0,0
0.021246,-0.026804,0,4.163,120.21,1.5644,0.00026768,0,0,117.37,1.5643,4.1631,120.21,2.4885,1,0.6096,51.41,0,0
0.02123,-0.026743,0,4.0957,119.52,1.4297,3.394e-06,0,4.3368e-19,116.78,1.4297,4.0958,119.52,2.4885,1,0.7112,51.511,0,0
0.021214,-0.026683,-6.7763e-21,4.0284,118.83,1.2951,-0.00026089,5.421e-20,4.3368e-19,116.19,1.2951,4.0285,118.83,2.4885,1,0.8128,51.613,0,0
0.021197,-0.026623,6.7763e-21,3.9612,118.14,1.1605,-0.00052518,0,0,115.61,1.1605,3.9612,118.14,2.4885,1,0.9144,51.714,0,0
0.021181,-0.026563,6.7763e-21,3.8939,117.45,1.0259,-0.00078946,-1.0842e-19,-4.3368e-19,115.02,1.0258,3.894,117.45,2.4885,1,1.016,51.816,0,0
0.021165,-0.026503,0,3.8266,116.76,0.89132,-0.0010537,0,-4.3368e-19,114.43,0.89123,3.8267,116.76,2.4885,1,1.1176,51.918,0,0
0.021149,-0.026443,0,3.7593,116.07,0.75671,-0.001318,5.421e-20,1.5179e-18,113.84,0.75662,3.7594,116.07,2.4885,1,1.2192,52.019,0,0
0.021133,-0.026383,-1.3553e-20,3.692,115.38,0.62211,-0.0015823,0,6.5052e-19,113.26,0.62201,3.6921,115.38,2.4885,1,1.3208,52.121,0,0
0.021117,-0.026323,0,3.6247,114.69,0.4875,-0.0018466,-5.421e-20,1.5179e-18,112.67,0.48739,3.6248,114.69,2.4885,1,1.4224,52.222,0,0
0.0211,-0.026263,-1.3553e-20,3.5574,114,0.35289,-0.0021109,5.421e-20,1.301e-18,112.08,0.35278,3.5576,114,2.4885,1,1.524,52.324,0,0
0.021084,-0.026203,1.6941e-21,3.4902,113.31,0.21829,-0.0023752,5.421e-20,6.5052e-19,111.49,0.21817,3.4903,113.31,2.4885,1,1.6256,52.426,0,0
0.021068,-0.026143,-1.0164e-20,3.4229,112.62,0.08368,-0.0026394,-6.7763e-20,0,110.91,0.083557,3.423,112.62,2.4885,1,1.7272,52.527,0,0
