"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.4124,11.017,126.08,3.8812,-0.0044033,6.3537e-20,-2.2384e-18,118.8,3.8809,11.017,126.08,0.021337,-0.027115,3.4637e-21,1,0,50.8,0,0
6.4124,10.936,125.46,3.7812,-0.0044266,-3.1774e-20,-3.0725e-18,118.26,3.7809,10.936,125.46,0.021324,-0.027055,-4.2201e-21,1,0.1016,50.902,0,0
6.4124,10.855,124.83,3.6812,-0.00445,3.0753e-20,-2.2368e-18,117.73,3.681,10.856,124.83,0.02131,-0.026995,5.1999e-22,1,0.2032,51.003,0,0
6.4124,10.775,124.21,3.5812,-0.0044733,-5.8844e-20,-2.9901e-18,117.2,3.581,10.775,124.21,0.021297,-0.026935,-6.0297e-21,1,0.3048,51.105,0,0
6.4124,10.694,123.59,3.4813,-0.0044966,7.1873e-20,2.0943e-18,116.67,3.481,10.695,123.59,0.021283,-0.026875,-4.3999e-21,1,0.4064,51.206,0,0
6.4124,10.614,122.96,3.3813,-0.0045199,-4.9039e-20,-2.5214e-19,116.13,3.381,10.614,122.96,0.02127,-0.026815,-9.6487e-21,1,0.508,51.308,0,0
6.4124,10.533,122.34,3.2813,-0.0045433,-5.8992e-20,1.3285e-18,115.6,3.2811,10.533,122.34,0.021256,-0.026755,-4.296e-21,1,0.6096,51.41,0,0
6.4124,10.452,121.71,3.1813,-0.0045666,1.1608e-20,1.5448e-18,115.07,3.1811,10.453,121.71,0.021243,-0.026695,4.4962e-21,1,0.7112,51.511,0,0
6.4124,10.372,121.09,3.0814,-0.0045899,-1.5098e-20,2.2279e-18,114.54,3.0811,10.372,121.09,0.021229,-0.026635,1.2241e-21,1,0.8128,51.613,0,0
6.4124,10.291,120.46,2.9814,-0.0046132,1.0636e-20,-1.5292e-18,114.01,2.9812,10.292,120.46,0.021216,-0.026575,-1.4274e-20,1,0.9144,51.714,0,0
6.4124,10.211,119.84,2.8814,-0.0046366,1.4197e-20,-2.5064e-18,113.47,2.8812,10.211,119.84,0.021202,-0.026515,-1.3267e-20,1,1.016,51.816,0,0
6.4124,10.13,119.21,2.7815,-0.0046599,1.3295e-20,-4.2341e-18,112.94,2.7812,10.13,119.21,0.021189,-0.026455,1.1327e-20,1,1.1176,51.918,0,0
6.4124,10.05,118.59,2.6815,-0.0046832,5.6572e-20,-2.3275e-18,112.41,2.6812,10.05,118.59,0.021175,-0.026395,-3.013e-22,1,1.2192,52.019,0,0
6.4124,9.969,117.96,2.5815,-0.0047065,3.5284e-20,-2.0955e-18,111.88,2.5813,9.9692,117.96,0.021161,-0.026335,-6.9287e-21,1,1.3208,52.121,0,0
6.4124,9.8884,117.34,2.4815,-0.0047299,-5.7338e-20,-7.1704e-19,111.35,2.4813,9.8886,117.34,0.021148,-0.026275,-6.5613e-21,1,1.4224,52.222,0,0
6.4124,9.8078,116.71,2.3816,-0.0047532,7.4236e-20,-5.9033e-19,110.81,2.3813,9.808,116.71,0.021134,-0.026215,6.2733e-21,1,1.524,52.324,0,0
6.4124,9.7272,116.09,2.2816,-0.0047765,-1.4055e-20,-1.357e-18,110.28,2.2814,9.7275,116.09,0.021121,-0.026155,1.4723e-21,1,1.6256,52.426,0,0
6.4124,9.6466,115.47,2.1816,-0.0047998,1.0537e-19,-2.3026e-18,109.75,2.1814,9.6469,115.47,0.021107,-0.026095,5.1182e-21,1,1.7272,52.527,0,0
6.4124,9.566,114.84,2.0816,-0.0048232,-1.241e-20,3.5892e-19,109.22,2.0814,9.5663,114.84,0.021094,-0.026035,-1.6032e-20,1,1.8288,52.629,0,0
6.4124,9.4855,114.22,1.9817,-0.0048465,6.2758e-20,-1.0342e-18,108.68,1.9814,9.4857,114.22,0.02108,-0.025975,-1.9448e-21,1,1.9304,52.73,0,0
6.4124,9.4049,113.59,1.8817,-0.0048698,2.7967e-20,-1.1477e-18,108.15,1.8815,9.4051,113.59,0.021067,-0.025915,-7.6989e-21,1,2.032,52.832,0,0
6.4124,9.3243,112.97,1.7817,-0.0048931,5.3693e-20,2.7365e-18,107.62,1.7815,9.3245,112.97,0.021053,-0.025856,-1.9598e-22,1,2.1336,52.934,0,0
6.4124,9.2437,112.34,1.6818,-0.0049165,-2.1358e-20,-3.1382e-19,107.09,1.6815,9.2439,112.34,0.02104,-0.025796,-1.2839e-20,1,2.2352,53.035,0,0
6.4124,9.1631,111.72,1.5818,-0.0049398,-6.5283e-21,-2.8767e-18,106.56,1.5815,9.1633,111.72,0.021026,-0.025736,-8.0128e-21,1,2.3368,53.137,0,0
6.4124,9.0825,111.09,1.4818,-0.0049631,-1.9229e-20,1.423e-18,106.02,1.4816,9.0827,111.09,0.021013,-0.025676,1.4452e-21,1,2.4384,53.238,0,0
6.4124,9.0019,110.47,1.3818,-0.0049864,4.2103e-20,2.2369e-18,105.49,1.3816,9.0022,110.47,0.020999,-0.025616,-1.8586e-21,1,2.54,53.34,0,0
6.4124,8.9213,109.84,1.2819,-0.0050098,8.343e-21,-3.886e-19,104.96,1.2816,8.9216,109.84,0.020986,-0.025556,2.0328e-21,1,2.6416,53.442,0,0
6.4124,8.8408,109.22,1.1819,-0.0050331,-4.4154e-21,2.2528e-18,104.43,1.1817,8.841,109.22,0.020972,-0.025496,-1.0889e-20,1,2.7432,53.543,0,0
6.4124,8.7602,108.59,1.0819,-0.0050564,8.0807e-21,-2.5182e-18,103.89,1.0817,8.7604,108.59,0.020958,-0.025436,7.36e-21,1,2.8448,53.645,0,0
6.4124,8.6796,107.97,0.98194,-0.0050797,-2.1972e-20,3.0487e-19,103.36,0.98172,8.6798,107.97,0.020945,-0.025376,-9.3228e-21,1,2.9464,53.746,0,0
6.4124,8.599,107.35,0.88196,-0.0051031,2.5155e-20,1.4744e-18,102.83,0.88175,8.5992,107.35,0.020931,-0.025316,-5.9524e-21,1,3.048,53.848,0,0
6.4124,8.5184,106.72,0.78199,-0.0051264,2.6551e-20,9.7018e-19,102.3,0.78177,8.5186,106.72,0.020918,-0.025256,7.3275e-21,1,3.1496,53.95,0,0
6.4124,8.4378,106.1,0.68202,-0.0051497,-1.6881e-20,2.2289e-18,101.77,0.6818,8.438,106.1,0.020904,-0.025196,1.2045e-22,1,3.2512,54.051,0,0
6.4124,8.3572,105.47,0.58204,-0.005173,3.3362e-20,3.47e-18,101.23,0.58183,8.3575,105.47,0.020891,-0.025136,3.0922e-21,1,3.3528,54.153,0,0
6.4124,8.2767,104.85,0.48207,-0.0051964,-5.5152e-20,-1.057e-18,100.7,0.48186,8.2769,104.85,0.020877,-0.025076,-3.4752e-21,1,3.4544,54.254,0,0
6.4124,8.1961,104.22,0.3821,-0.0052197,5.6702e-21,-2.7552e-20,100.17,0.38189,8.1963,104.22,0.020864,-0.025016,-9.8885e-21,1,3.556,54.356,0,0
6.4124,8.1155,103.6,0.28213,-0.005243,2.1154e-20,-2.6978e-18,99.637,0.28192,8.1157,103.6,0.02085,-0.024956,-1.7711e-21,1,3.6576,54.458,0,0
6.4124,8.0349,102.97,0.18215,-0.0052663,-2.2195e-20,2.9798e-18,99.105,0.18194,8.0351,102.97,0.020837,-0.024896,4.4041e-21,1,3.7592,54.559,0,0
6.4124,7.9543,102.35,0.082178,-0.0052897,8.7605e-22,1.2849e-18,98.572,0.081972,7.9545,102.35,0.020823,-0.024836,5.7887e-21,1,3.8608,54.661,0,0
6.4124,7.8737,101.72,-0.017796,-0.005313,5.6436e-20,-9.6354e-19,98.04,-0.018,7.8739,101.72,0.02081,-0.024776,-3.9425e-22,1,3.9624,54.762,0,0
6.4124,7.7931,101.1,-0.11777,-0.0053363,4.5789e-21,-2.5851e-18,97.508,-0.11797,7.7933,101.1,0.020796,-0.024716,6.6678e-23,1,4.064,54.864,0,0
6.4124,7.7126,100.47,-0.21774,-0.0053596,4.9216e-21,-6.3371e-18,96.976,-0.21794,7.7128,100.47,0.020783,-0.024656,4.5182e-21,1,4.1656,54.966,0,0
6.4124,7.632,99.85,-0.31771,-0.0053829,1.2904e-20,-2.4e-18,96.444,-0.31791,7.6322,99.85,0.020769,-0.024596,7.0461e-21,1,4.2672,55.067,0,0
6.4124,7.5514,99.226,-0.41769,-0.0054063,-1.6561e-20,3.8565e-19,95.911,-0.41789,7.5516,99.226,0.020755,-0.024536,-8.4e-21,1,4.3688,55.169,0,0
6.4124,7.4708,98.601,-0.51766,-0.0054296,1.1481e-20,1.0641e-19,95.379,-0.51786,7.471,98.601,0.020742,-0.024477,-1.0368e-20,1,4.4704,55.27,0,0
6.4124,7.3902,97.976,-0.61763,-0.0054529,6.1181e-20,-1.693e-18,94.847,-0.61783,7.3904,97.976,0.020728,-0.024417,-1.2208e-21,1,4.572,55.372,0,0
6.4124,7.3096,97.352,-0.7176,-0.0054762,-1.9657e-20,-3.6897e-19,94.315,-0.7178,7.3098,97.352,0.020715,-0.024357,6.1859e-21,1,4.6736,55.474,0,0
6.4124,7.229,96.727,-0.81758,-0.0054996,-2.1115e-20,-6.0928e-19,93.783,-0.81777,7.2292,96.727,0.020701,-0.024297,3.5796e-21,1,4.7752,55.575,0,0
6.4124,7.1484,96.103,-0.91755,-0.0055229,3.1312e-21,2.1969e-18,93.25,-0.91774,7.1486,96.103,0.020688,-0.024237,-1.3738e-21,1,4.8768,55.677,0,0
6.4124,7.0679,95.478,-1.0175,-0.0055462,1.1052e-20,-8.5876e-19,92.718,-1.0177,7.068,95.478,0.020674,-0.024177,-3.9959e-21,1,4.9784,55.778,0,0
6.4124,6.9873,94.853,-1.1175,-0.0055695,-1.8827e-20,1.1848e-18,92.186,-1.1177,6.9875,94.853,0.020661,-0.024117,-1.6847e-20,1,5.08,55.88,0,0
6.3947,7.1056,94.47,-1.1035,-0.0054466,-1.2267e-20,-2.9148e-18,91.75,-1.1037,7.1058,94.47,0.020654,-0.024057,-5.4865e-21,1,5.1816,55.982,0,0
6.377,7.224,94.087,-1.0895,-0.0053236,5.3746e-22,-6.8487e-19,91.314,-1.0897,7.2242,94.087,0.020647,-0.023997,5.2841e-21,1,5.2832,56.083,0,0
6.3594,7.3423,93.703,-1.0755,-0.0052006,-7.057e-21,5.1488e-19,90.878,-1.0756,7.3425,93.703,0.02064,-0.023937,-8.7877e-21,1,5.3848,56.185,0,0
6.3417,7.4607,93.32,-1.0614,-0.0050776,-1.7228e-20,-4.6617e-19,90.442,-1.0616,7.4609,93.32,0.020633,-0.023877,2.156e-21,1,5.4864,56.286,0,0
6.324,7.579,92.936,-1.0474,-0.0049546,-2.7455e-21,1.7488e-18,90.007,-1.0476,7.5792,92.936,0.020626,-0.023817,8.0663e-22,1,5.588,56.388,0,0
