"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.019098,0.22337,4.2504e-08,1.0026,175.68,51.788,0.0080823,0.014399,15.769,158.01,-3.4952,56.285,175.68,1.6378,1,0,25,0,5
0.019075,0.22404,2.0953e-05,1.5796,175,50.842,0.0070551,0.014456,15.586,157.11,-2.8749,55.297,175,1.6378,1,0.075001,25.075,0,5
0.019051,0.22471,4.1696e-05,2.1561,174.32,49.897,0.0060739,0.014473,15.402,156.21,-2.2652,54.318,174.32,1.6378,1,0.15,25.15,0,5
0.019028,0.22538,6.227e-05,2.7321,173.63,48.952,0.0051389,0.014451,15.215,155.33,-1.6659,53.35,173.63,1.6378,1,0.225,25.225,0,5
0.019005,0.22605,8.2675e-05,3.3077,172.95,48.006,0.0042499,0.014389,15.026,154.46,-1.0772,52.391,172.95,1.6378,1,0.3,25.3,0,5
0.018983,0.22672,0.00010291,3.8829,172.26,47.061,0.003407,0.014288,14.836,153.6,-0.49894,51.443,172.26,1.6378,1,0.375,25.375,0,5
0.018961,0.22739,0.00012298,4.4575,171.58,46.116,0.0026102,0.014148,14.644,152.75,0.0688,50.505,171.58,1.6378,1,0.45,25.45,0,5
0.01894,0.22806,0.00014288,5.0317,170.9,45.171,0.0018595,0.013968,14.449,151.91,0.62602,49.577,170.9,1.6378,1,0.525,25.525,0,5
0.018919,0.22873,0.00016262,5.6055,170.22,44.227,0.0011548,0.013748,14.253,151.08,1.1727,48.659,170.22,1.6378,1,0.6,25.6,0,5
0.018898,0.2294,0.00018218,6.1788,169.53,43.282,0.00049628,0.013489,14.055,150.27,1.709,47.752,169.53,1.6378,1,0.675,25.675,0,5
0.018878,0.23007,0.00020157,6.7516,168.85,42.337,0.00011622,-0.01319,13.854,149.46,2.2347,46.854,168.85,0,1,0.75,25.75,0,5
0.018858,0.23074,0.0002208,7.324,168.17,41.393,0.0006826,-0.012852,13.652,148.66,2.7499,45.967,168.17,0,1,0.825,25.825,0,5
0.018838,0.23141,0.00023986,7.8959,167.49,40.448,0.0012029,-0.012474,13.448,147.88,3.2546,45.09,167.49,0,1,0.9,25.9,0,5
0.018819,0.23208,0.00025875,8.4674,166.81,39.504,0.0016771,-0.012057,13.242,147.1,3.7488,44.223,166.81,0,1,0.975,25.975,0,5
0.0188,0.23275,0.00027747,9.0384,166.13,38.56,0.0021052,-0.0116,13.034,146.34,4.2324,43.366,166.13,0,1,1.05,26.05,0,5
0.018782,0.23342,0.00029603,9.6089,165.45,37.615,0.0024872,-0.011104,12.825,145.59,4.7056,42.519,165.45,0,1,1.125,26.125,0,5
0.018764,0.23409,0.00031441,10.179,164.77,36.671,0.0028231,-0.010568,12.613,144.85,5.1683,41.682,164.77,0,1,1.2,26.2,0,5
0.018746,0.23476,0.00033263,10.749,164.09,35.727,0.003113,-0.0099932,12.399,144.12,5.6205,40.855,164.09,0,1,1.275,26.275,0,5
0.018729,0.23543,0.00035068,11.318,163.41,34.783,0.0033567,-0.0093785,12.183,143.4,6.0621,40.039,163.41,0,1,1.35,26.35,0,5
0.018712,0.2361,0.00036856,11.886,162.73,33.84,0.0035544,-0.0087243,11.966,142.69,6.4933,39.233,162.73,0,1,1.425,26.425,0,5
