"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.039828,1.5442,2.8144e-13,0.42648,183.65,54.416,0.0099735,1.3941e-07,0.00016483,163.08,0.42648,54.416,183.65,0.8497,1,0,50,0,5
0.039811,1.5458,1.3998e-10,0.77457,183.26,53.494,0.0090977,1.4112e-07,0.00016284,162.66,0.77457,53.494,183.26,0.8497,1,0.049999,50.05,0,5
0.039795,1.5473,2.7853e-10,1.1229,182.87,52.572,0.0082576,1.4236e-07,0.00016083,162.25,1.1229,52.572,182.87,0.8497,1,0.099998,50.1,0,5
0.039778,1.5489,4.1594e-10,1.4714,182.48,51.649,0.007453,1.4314e-07,0.00015879,161.85,1.4714,51.649,182.48,0.8497,1,0.15,50.15,0,5
0.039762,1.5504,5.5219e-10,1.8202,182.09,50.725,0.0066843,1.4346e-07,0.00015673,161.45,1.8202,50.725,182.09,0.8497,1,0.2,50.2,0,5
0.039746,1.5519,6.8729e-10,2.1691,181.7,49.8,0.0059512,1.4331e-07,0.00015464,161.07,2.1691,49.8,181.7,0.8497,1,0.25,50.25,0,5
0.03973,1.5535,8.2124e-10,2.5183,181.3,48.874,0.0052538,1.427e-07,0.00015253,160.69,2.5183,48.874,181.3,0.8497,1,0.3,50.3,0,5
0.039714,1.555,9.5403e-10,2.8677,180.91,47.948,0.0045921,1.4163e-07,0.00015039,160.31,2.8677,47.948,180.91,0.8497,1,0.35,50.35,0,5
0.039699,1.5566,1.0857e-09,3.2173,180.52,47.021,0.003966,1.4009e-07,0.00014823,159.95,3.2173,47.021,180.52,0.8497,1,0.4,50.4,0,5
0.039683,1.5581,1.2162e-09,3.5672,180.13,46.093,0.0033757,1.3809e-07,0.00014605,159.59,3.5672,46.093,180.13,0.8497,1,0.45,50.45,0,5
