"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0001706,1.7891e-09,-6.446e-06,-1.0047,1.138,-6.7081e-06,0.0036962,3.0744e-14,-3.8786e-15,1.8569,-1.0047,-6.7081e-06,1.138,1.943,1,0,25,0,5
0.00017013,1.7748e-09,-6.446e-06,-0.99921,1.1325,-5.7709e-06,0.0036082,2.9574e-14,-4.179e-15,1.8473,-0.99922,-5.7709e-06,1.1325,1.943,1,0.075001,25.075,0,5
0.00016966,1.7607e-09,-6.446e-06,-0.99371,1.127,-4.8769e-06,0.0035193,2.8406e-14,-4.4794e-15,1.8378,-0.99372,-4.8769e-06,1.127,1.943,1,0.15,25.15,0,5
0.00016919,1.7466e-09,-6.446e-06,-0.98822,1.1215,-4.026e-06,0.0034296,2.7242e-14,-4.7798e-15,1.8283,-0.98823,-4.026e-06,1.1215,1.943,1,0.225,25.225,0,5
0.00016872,1.7327e-09,-6.446e-06,-0.98273,1.116,-3.2184e-06,0.0033391,2.6081e-14,-5.0803e-15,1.8188,-0.98273,-3.2184e-06,1.1161,1.943,1,0.3,25.3,0,5
0.00016826,1.7189e-09,-6.446e-06,-0.97724,1.1106,-2.4539e-06,0.0032478,2.4923e-14,-5.3807e-15,1.8093,-0.97724,-2.4539e-06,1.1106,1.943,1,0.375,25.375,0,5
0.0001678,1.7052e-09,-6.446e-06,-0.97175,1.1051,-1.7326e-06,0.0031556,2.3768e-14,-5.6811e-15,1.7998,-0.97175,-1.7326e-06,1.1051,1.943,1,0.45,25.45,0,5
0.00016734,1.6917e-09,-6.446e-06,-0.96626,1.0996,-1.0545e-06,0.0030627,2.2617e-14,-5.9816e-15,1.7903,-0.96626,-1.0545e-06,1.0996,1.943,1,0.525,25.525,0,5
0.00016689,1.6783e-09,-6.446e-06,-0.96077,1.0941,-4.1963e-07,0.0029689,2.1468e-14,-6.282e-15,1.7808,-0.96077,-4.1963e-07,1.0941,1.943,1,0.6,25.6,0,5
0.00016643,1.6649e-09,-6.446e-06,-0.95528,1.0886,1.7207e-07,0.0028743,2.0323e-14,-6.5824e-15,1.7713,-0.95529,1.7207e-07,1.0886,1.943,1,0.675,25.675,0,5
0.00016598,1.6517e-09,-6.446e-06,-0.9498,1.0831,7.2059e-07,0.0027789,1.9181e-14,-6.8829e-15,1.7618,-0.9498,7.2059e-07,1.0831,1.943,1,0.75,25.75,0,5
0.00016554,1.6387e-09,-6.446e-06,-0.94432,1.0776,1.2259e-06,0.0026827,1.8043e-14,-7.1833e-15,1.7523,-0.94432,1.2259e-06,1.0777,1.943,1,0.825,25.825,0,5
0.00016509,1.6257e-09,-6.446e-06,-0.93883,1.0722,1.688e-06,0.0025857,1.6907e-14,-7.4837e-15,1.7429,-0.93884,1.688e-06,1.0722,1.943,1,0.9,25.9,0,5
0.00016465,1.6128e-09,-6.446e-06,-0.93335,1.0667,2.107e-06,0.0024878,1.5775e-14,-7.7842e-15,1.7334,-0.93336,2.107e-06,1.0667,1.943,1,0.975,25.975,0,5
0.00016421,1.6001e-09,-6.446e-06,-0.92787,1.0612,2.4827e-06,0.0023892,1.4646e-14,-8.0846e-15,1.7239,-0.92788,2.4827e-06,1.0612,1.943,1,1.05,26.05,0,5
0.00016377,1.5875e-09,-6.446e-06,-0.9224,1.0557,2.8153e-06,0.0022897,1.352e-14,-8.385e-15,1.7144,-0.9224,2.8153e-06,1.0557,1.943,1,1.125,26.125,0,5
0.00016333,1.575e-09,-6.446e-06,-0.91692,1.0503,3.1047e-06,0.0021894,1.2397e-14,-8.6855e-15,1.7049,-0.91692,3.1047e-06,1.0503,1.943,1,1.2,26.2,0,5
0.0001629,1.5626e-09,-6.446e-06,-0.91144,1.0448,3.3509e-06,0.0020883,1.1278e-14,-8.9859e-15,1.6955,-0.91145,3.3509e-06,1.0448,1.943,1,1.275,26.275,0,5
0.00016247,1.5503e-09,-6.446e-06,-0.90597,1.0393,3.5539e-06,0.0019864,1.0162e-14,-9.2863e-15,1.686,-0.90597,3.5539e-06,1.0393,1.943,1,1.35,26.35,0,5
0.00016204,1.5381e-09,-6.446e-06,-0.9005,1.0338,3.7137e-06,0.0018837,9.0486e-15,-9.5868e-15,1.6765,-0.9005,3.7137e-06,1.0338,1.943,1,1.425,26.425,0,5
0.00016162,1.526e-09,-6.446e-06,-0.89503,1.0284,3.8303e-06,0.0017802,7.9387e-15,-9.8872e-15,1.667,-0.89503,3.8303e-06,1.0284,1.943,1,1.5,26.5,0,5
0.00016119,1.514e-09,-6.446e-06,-0.88956,1.0229,3.9037e-06,0.0016758,6.8321e-15,-1.0188e-14,1.6576,-0.88956,3.9037e-06,1.0229,1.943,1,1.575,26.575,0,5
0.00016077,1.5022e-09,-6.446e-06,-0.88409,1.0174,3.9339e-06,0.0015706,5.7286e-15,-1.0488e-14,1.6481,-0.88409,3.9339e-06,1.0174,1.943,1,1.65,26.65,0,5
0.00016035,1.4904e-09,-6.446e-06,-0.87862,1.012,3.921e-06,0.0014647,4.6284e-15,-1.0789e-14,1.6387,-0.87862,3.921e-06,1.012,1.943,1,1.725,26.725,0,5
0.00015994,1.4787e-09,-6.446e-06,-0.87316,1.0065,3.8648e-06,0.0013579,3.5314e-15,-1.1089e-14,1.6292,-0.87316,3.8648e-06,1.0065,1.943,1,1.8,26.8,0,5
0.00015952,1.4672e-09,-6.446e-06,-0.86769,1.001,3.7655e-06,0.0012503,2.4375e-15,-1.1389e-14,1.6197,-0.8677,3.7655e-06,1.001,1.943,1,1.875,26.875,0,5
0.00015911,1.4557e-09,-6.446e-06,-0.86223,0.99557,3.623e-06,0.0011418,1.3469e-15,-1.169e-14,1.6103,-0.86223,3.623e-06,0.99557,1.943,1,1.95,26.95,0,5
0.0001587,1.4444e-09,-6.446e-06,-0.85677,0.99011,3.4372e-06,0.0010326,2.5947e-16,-1.199e-14,1.6008,-0.85677,3.4372e-06,0.99011,1.943,1,2.025,27.025,0,5
0.0001583,1.4331e-09,-6.446e-06,-0.85131,0.98465,3.2083e-06,0.00092254,-8.2477e-16,-1.2291e-14,1.5914,-0.85131,3.2083e-06,0.98465,1.943,1,2.1,27.1,0,5
0.00015789,1.422e-09,-6.446e-06,-0.84585,0.97919,2.9362e-06,0.00081168,-1.9058e-15,-1.2591e-14,1.5819,-0.84585,2.9362e-06,0.97919,1.943,1,2.175,27.175,0,5
0.00015749,1.4109e-09,-6.446e-06,-0.84039,0.97373,2.6209e-06,0.00069999,-2.9836e-15,-1.2892e-14,1.5725,-0.8404,2.6209e-06,0.97373,1.943,1,2.25,27.25,0,5
0.0001571,1.3999e-09,-6.446e-06,-0.83494,0.96827,2.2625e-06,0.0005875,-4.0582e-15,-1.3192e-14,1.5631,-0.83494,2.2625e-06,0.96827,1.943,1,2.325,27.325,0,5
0.0001567,1.3891e-09,-6.446e-06,-0.82948,0.96282,1.8608e-06,0.00047419,-5.1296e-15,-1.3493e-14,1.5536,-0.82948,1.8608e-06,0.96282,1.943,1,2.4,27.4,0,5
0.00015631,1.3783e-09,-6.446e-06,-0.82403,0.95736,1.4159e-06,0.00036007,-6.1979e-15,-1.3793e-14,1.5442,-0.82403,1.4159e-06,0.95736,1.943,1,2.475,27.475,0,5
0.00015591,1.6379e-09,-6.446e-06,-0.81936,0.95269,8.0178e-07,0.00028216,-6.5395e-15,-1.452e-14,1.5361,-0.81936,8.0178e-07,0.95269,1.9401,1,2.55,27.55,0,5
0.00015552,1.6252e-09,-6.446e-06,-0.81511,0.94844,1.5802e-07,0.00022844,-6.5143e-15,-1.5368e-14,1.5287,-0.81511,1.5802e-07,0.94844,1.9357,1,2.625,27.625,0,5
0.00015514,1.6127e-09,-6.446e-06,-0.81087,0.94419,-4.4119e-07,0.00017564,-6.4874e-15,-1.6107e-14,1.5214,-0.81087,-4.4119e-07,0.94419,1.9314,1,2.7,27.7,0,5
0.00015475,1.6004e-09,-6.446e-06,-0.80662,0.93994,-9.9584e-07,0.00012377,-6.4588e-15,-1.6739e-14,1.514,-0.80662,-9.9584e-07,0.93994,1.927,1,2.775,27.775,0,5
0.00015437,1.5881e-09,-6.446e-06,-0.80237,0.93569,-1.506e-06,7.281e-05,-6.4284e-15,-1.7263e-14,1.5067,-0.80237,-1.506e-06,0.93569,1.9227,1,2.85,27.85,0,5
0.00015399,1.5759e-09,-6.446e-06,-0.79812,0.93144,-1.9715e-06,2.2773e-05,-6.3962e-15,-1.7679e-14,1.4993,-0.79812,-1.9715e-06,0.93144,1.9183,1,2.925,27.925,0,5
0.00015361,1.5638e-09,-6.446e-06,-0.79387,0.92719,-2.3925e-06,-2.6345e-05,-6.3623e-15,-1.7987e-14,1.492,-0.79387,-2.3925e-06,0.92719,1.914,1,3,28,0,5
0.00015323,1.5519e-09,-6.446e-06,-0.78962,0.92294,-2.769e-06,-7.4543e-05,-6.3267e-15,-1.8187e-14,1.4846,-0.78962,-2.769e-06,0.92294,1.9096,1,3.075,28.075,0,5
0.00015286,1.54e-09,-6.446e-06,-0.78537,0.91869,-3.101e-06,-0.00012182,-6.2893e-15,-1.828e-14,1.4773,-0.78537,-3.101e-06,0.91869,1.9053,1,3.15,28.15,0,5
0.00015249,1.5282e-09,-6.446e-06,-0.78112,0.91444,-3.3884e-06,-0.00016818,-6.2502e-15,-1.8264e-14,1.4699,-0.78112,-3.3884e-06,0.91444,1.9009,1,3.225,28.225,0,5
0.00015212,1.5166e-09,-6.446e-06,-0.77687,0.91019,-3.6312e-06,-0.00021361,-6.2093e-15,-1.8141e-14,1.4626,-0.77687,-3.6312e-06,0.91019,1.8966,1,3.3,28.3,0,5
0.00015175,1.505e-09,-6.446e-06,-0.77262,0.90594,-3.8295e-06,-0.00025813,-6.1667e-15,-1.791e-14,1.4552,-0.77262,-3.8295e-06,0.90594,1.8922,1,3.375,28.375,0,5
0.00015138,1.4935e-09,-6.446e-06,-0.76837,0.90169,-3.9833e-06,-0.00030173,-6.1223e-15,-1.7571e-14,1.4478,-0.76837,-3.9833e-06,0.90169,1.8879,1,3.45,28.45,0,5
