"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00042453,4.4517e-09,-2.321e-05,-1.0095,3.276,-1.3416e-05,0.0073925,6.1136e-14,2.7695e-15,3.8805,-1.0095,-1.3416e-05,3.276,1.3322,1,0,25,0,5
0.00042384,4.4209e-09,-2.321e-05,-0.99846,3.265,-1.1542e-05,0.0072163,5.9039e-14,-1.8032e-15,3.8623,-0.99847,-1.1542e-05,3.265,1.3322,1,0.075001,25.075,0,5
0.00042315,4.3902e-09,-2.321e-05,-0.98747,3.254,-9.7538e-06,0.0070386,5.6948e-14,-6.1968e-15,3.8441,-0.98748,-9.7538e-06,3.254,1.3322,1,0.15,25.15,0,5
0.00042246,4.3599e-09,-2.321e-05,-0.97648,3.243,-8.052e-06,0.0068592,5.4862e-14,-1.0411e-14,3.8259,-0.97649,-8.052e-06,3.243,1.3322,1,0.225,25.225,0,5
0.00042178,4.3298e-09,-2.321e-05,-0.96549,3.232,-6.4367e-06,0.0066782,5.2783e-14,-1.4447e-14,3.8077,-0.96551,-6.4367e-06,3.2321,1.3322,1,0.3,25.3,0,5
0.0004211,4.2999e-09,-2.321e-05,-0.95451,3.2211,-4.9078e-06,0.0064955,5.0709e-14,-1.8304e-14,3.7896,-0.95452,-4.9078e-06,3.2211,1.3322,1,0.375,25.375,0,5
0.00042043,4.2703e-09,-2.321e-05,-0.94353,3.2101,-3.4652e-06,0.0063112,4.8641e-14,-2.1981e-14,3.7714,-0.94354,-3.4652e-06,3.2101,1.3322,1,0.45,25.45,0,5
0.00041977,4.2409e-09,-2.321e-05,-0.93255,3.1991,-2.1091e-06,0.0061253,4.6578e-14,-2.548e-14,3.7533,-0.93256,-2.1091e-06,3.1991,1.3322,1,0.525,25.525,0,5
0.00041911,4.2117e-09,-2.321e-05,-0.92158,3.1882,-8.3926e-07,0.0059378,4.4522e-14,-2.88e-14,3.7352,-0.92159,-8.3926e-07,3.1882,1.3322,1,0.6,25.6,0,5
0.00041845,4.1828e-09,-2.321e-05,-0.91061,3.1772,3.4414e-07,0.0057486,4.2471e-14,-3.194e-14,3.7171,-0.91062,3.4414e-07,3.1772,1.3322,1,0.675,25.675,0,5
0.0004178,4.1542e-09,-2.321e-05,-0.89964,3.1662,1.4412e-06,0.0055578,4.0425e-14,-3.4902e-14,3.699,-0.89965,1.4412e-06,3.1662,1.3322,1,0.75,25.75,0,5
0.00041716,4.1257e-09,-2.321e-05,-0.88867,3.1553,2.4518e-06,0.0053654,3.8386e-14,-3.7685e-14,3.6809,-0.88868,2.4518e-06,3.1553,1.3322,1,0.825,25.825,0,5
0.00041651,4.0975e-09,-2.321e-05,-0.87771,3.1443,3.3761e-06,0.0051714,3.6352e-14,-4.0288e-14,3.6629,-0.87771,3.3761e-06,3.1443,1.3322,1,0.9,25.9,0,5
0.00041588,4.0695e-09,-2.321e-05,-0.86675,3.1333,4.214e-06,0.0049757,3.4324e-14,-4.2713e-14,3.6448,-0.86675,4.214e-06,3.1333,1.3322,1,0.975,25.975,0,5
0.00041525,4.0418e-09,-2.321e-05,-0.85579,3.1224,4.9655e-06,0.0047784,3.2302e-14,-4.4959e-14,3.6268,-0.85579,4.9655e-06,3.1224,1.3322,1,1.05,26.05,0,5
0.00041462,4.0142e-09,-2.321e-05,-0.84483,3.1114,5.6306e-06,0.0045794,3.0285e-14,-4.7025e-14,3.6088,-0.84484,5.6306e-06,3.1114,1.3322,1,1.125,26.125,0,5
0.000414,3.9869e-09,-2.321e-05,-0.83388,3.1005,6.2094e-06,0.0043789,2.8274e-14,-4.8913e-14,3.5908,-0.83388,6.2094e-06,3.1005,1.3322,1,1.2,26.2,0,5
0.00041338,3.9598e-09,-2.321e-05,-0.82293,3.0895,6.7017e-06,0.0041767,2.6269e-14,-5.0622e-14,3.5728,-0.82293,6.7017e-06,3.0895,1.3322,1,1.275,26.275,0,5
