"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0089623,2.8704e-08,-0.00056546,-1.0122,19.524,-3.6431e-05,0.080187,1.7036e-12,-1.8277e-11,20.05,-1.0125,-3.6431e-05,19.525,0.029289,1,0,95,0,5
0.0089622,2.8701e-08,-0.00056546,-1.0112,19.523,-3.4666e-05,0.079181,1.3666e-12,-1.8143e-11,20.048,-1.0115,-3.4666e-05,19.523,0.029346,1,0.0049973,95.005,0,5
0.008962,2.8698e-08,-0.00056546,-1.0102,19.522,-3.2929e-05,0.078157,1.0292e-12,-1.801e-11,20.047,-1.0105,-3.2929e-05,19.522,0.029402,1,0.010002,95.01,0,5
0.0089619,2.8696e-08,-0.00056546,-1.0092,19.521,-3.1224e-05,0.077119,6.9226e-13,-1.7877e-11,20.045,-1.0094,-3.1224e-05,19.521,0.029459,1,0.014999,95.015,0,5
0.0089617,2.8693e-08,-0.00056546,-1.0081,19.52,-2.955e-05,0.076065,3.5536e-13,-1.7746e-11,20.044,-1.0084,-2.955e-05,19.52,0.029515,1,0.019997,95.02,0,5
0.0089616,2.869e-08,-0.00056546,-1.0071,19.519,-2.7903e-05,0.074994,1.7954e-14,-1.7615e-11,20.042,-1.0074,-2.7903e-05,19.519,0.029572,1,0.025002,95.025,0,5
0.0089614,2.8687e-08,-0.00056546,-1.0061,19.518,-2.6289e-05,0.073908,-3.1892e-13,-1.7485e-11,20.041,-1.0064,-2.6289e-05,19.518,0.029628,1,0.029999,95.03,0,5
0.0089613,2.8684e-08,-0.00056546,-1.0051,19.517,-2.4703e-05,0.072805,-6.5629e-13,-1.7355e-11,20.039,-1.0053,-2.4703e-05,19.517,0.029685,1,0.035004,95.035,0,5
0.0089611,2.8681e-08,-0.00056546,-1.0041,19.516,-2.3149e-05,0.071688,-9.9314e-13,-1.7226e-11,20.037,-1.0043,-2.3149e-05,19.516,0.029742,1,0.040001,95.04,0,5
0.008961,2.8679e-08,-0.00056546,-1.0031,19.515,-2.1625e-05,0.070555,-1.33e-12,-1.7098e-11,20.036,-1.0033,-2.1625e-05,19.515,0.029798,1,0.044998,95.045,0,5
0.0089608,2.8676e-08,-0.00056546,-1.002,19.514,-2.0129e-05,0.069405,-1.6673e-12,-1.697e-11,20.034,-1.0023,-2.0129e-05,19.514,0.029855,1,0.050003,95.05,0,5
0.0089607,2.8673e-08,-0.00056546,-1.001,19.513,-1.8666e-05,0.068241,-2.0041e-12,-1.6844e-11,20.033,-1.0012,-1.8666e-05,19.513,0.029911,1,0.055,95.055,0,5
0.0089605,2.867e-08,-0.00056546,-1,19.512,-1.7233e-05,0.06706,-2.3409e-12,-1.6718e-11,20.031,-1.0002,-1.7233e-05,19.512,0.029968,1,0.059998,95.06,0,5
0.0089604,2.8667e-08,-0.00056546,-0.99898,19.511,-1.5827e-05,0.065863,-2.6782e-12,-1.6593e-11,20.029,-0.99918,-1.5827e-05,19.511,0.030025,1,0.065002,95.065,0,5
0.0089602,2.8664e-08,-0.00056546,-0.99796,19.51,-1.4454e-05,0.064651,-3.0149e-12,-1.6468e-11,20.028,-0.99816,-1.4454e-05,19.51,0.030081,1,0.07,95.07,0,5
0.0089601,2.8662e-08,-0.00056546,-0.99694,19.509,-1.3111e-05,0.063423,-3.3516e-12,-1.6344e-11,20.026,-0.99713,-1.3111e-05,19.509,0.030138,1,0.074997,95.075,0,5
0.0089599,2.8659e-08,-0.00056546,-0.99591,19.508,-1.1796e-05,0.062178,-3.6889e-12,-1.6221e-11,20.025,-0.99609,-1.1796e-05,19.508,0.030194,1,0.080002,95.08,0,5
0.0089598,2.8656e-08,-0.00056546,-0.99489,19.507,-1.0514e-05,0.060919,-4.0256e-12,-1.6099e-11,20.023,-0.99506,-1.0514e-05,19.507,0.030251,1,0.084999,95.085,0,5
0.0089596,2.8653e-08,-0.00056546,-0.99386,19.506,-9.2611e-06,0.059644,-4.3623e-12,-1.5977e-11,20.022,-0.99403,-9.2611e-06,19.506,0.030308,1,0.089996,95.09,0,5
0.0089595,2.865e-08,-0.00056546,-0.99284,19.505,-8.0367e-06,0.058351,-4.6995e-12,-1.5856e-11,20.02,-0.993,-8.0367e-06,19.505,0.030364,1,0.095001,95.095,0,5
0.0089593,2.8647e-08,-0.00056546,-0.99181,19.504,-6.8444e-06,0.057045,-5.0361e-12,-1.5736e-11,20.018,-0.99197,-6.8444e-06,19.504,0.030421,1,0.099998,95.1,0,5
0.0089592,2.8645e-08,-0.00056546,-0.99078,19.503,-5.6804e-06,0.05572,-5.3733e-12,-1.5616e-11,20.017,-0.99093,-5.6804e-06,19.503,0.030477,1,0.105,95.105,0,5
0.008959,2.8642e-08,-0.00056546,-0.98975,19.502,-4.5483e-06,0.054382,-5.7099e-12,-1.5497e-11,20.015,-0.9899,-4.5483e-06,19.502,0.030534,1,0.11,95.11,0,5
0.0089589,2.8639e-08,-0.00056546,-0.98873,19.501,-3.4464e-06,0.053028,-6.0465e-12,-1.5379e-11,20.014,-0.98886,-3.4464e-06,19.501,0.030591,1,0.115,95.115,0,5
0.0089587,2.8636e-08,-0.00056546,-0.9877,19.5,-2.3729e-06,0.051656,-6.3836e-12,-1.5262e-11,20.012,-0.98783,-2.3729e-06,19.5,0.030647,1,0.12,95.12,0,5
0.0089586,2.8633e-08,-0.00056546,-0.98667,19.499,-1.3312e-06,0.050271,-6.7202e-12,-1.5145e-11,20.01,-0.98679,-1.3312e-06,19.499,0.030704,1,0.125,95.125,0,5
0.0089584,2.863e-08,-0.00056546,-0.98564,19.498,-3.1965e-07,0.048869,-7.0568e-12,-1.5029e-11,20.009,-0.98575,-3.1965e-07,19.498,0.03076,1,0.13,95.13,0,5
0.0089583,2.8628e-08,-0.00056546,-0.9846,19.497,6.633e-07,0.04745,-7.3939e-12,-1.4914e-11,20.007,-0.98471,6.633e-07,19.497,0.030817,1,0.135,95.135,0,5
0.0089581,2.8625e-08,-0.00056546,-0.98357,19.496,1.6146e-06,0.046017,-7.7304e-12,-1.48e-11,20.006,-0.98368,1.6146e-06,19.496,0.030874,1,0.14,95.14,0,5
0.008958,2.8622e-08,-0.00056546,-0.98254,19.495,2.5358e-06,0.044569,-8.0669e-12,-1.4686e-11,20.004,-0.98264,2.5358e-06,19.495,0.03093,1,0.145,95.145,0,5
0.0089578,2.8619e-08,-0.00056546,-0.9815,19.494,3.4283e-06,0.043102,-8.4039e-12,-1.4573e-11,20.003,-0.9816,3.4283e-06,19.494,0.030987,1,0.15,95.15,0,5
0.0089577,2.8616e-08,-0.00056546,-0.98047,19.493,4.2892e-06,0.041622,-8.7404e-12,-1.446e-11,20.001,-0.98056,4.2892e-06,19.493,0.031043,1,0.155,95.155,0,5
0.0089575,2.8613e-08,-0.00056546,-0.97943,19.491,5.1213e-06,0.040123,-9.0774e-12,-1.4349e-11,19.999,-0.97952,5.1213e-06,19.492,0.0311,1,0.16,95.16,0,5
0.0089574,2.8611e-08,-0.00056546,-0.9784,19.49,5.922e-06,0.038611,-9.4139e-12,-1.4238e-11,19.998,-0.97847,5.922e-06,19.491,0.031157,1,0.165,95.165,0,5
0.0089572,2.8608e-08,-0.00056546,-0.97736,19.489,6.6925e-06,0.037084,-9.7503e-12,-1.4128e-11,19.996,-0.97743,6.6925e-06,19.489,0.031213,1,0.17,95.17,0,5
0.0089571,2.8605e-08,-0.00056546,-0.97632,19.488,7.4341e-06,0.035538,-1.0087e-11,-1.4018e-11,19.995,-0.97639,7.4341e-06,19.488,0.03127,1,0.175,95.175,0,5
0.0089569,2.8602e-08,-0.00056546,-0.97528,19.487,8.1444e-06,0.033979,-1.0424e-11,-1.3909e-11,19.993,-0.97535,8.1444e-06,19.487,0.031326,1,0.18,95.18,0,5
0.0089568,2.8599e-08,-0.00056546,-0.97424,19.486,8.8246e-06,0.032404,-1.076e-11,-1.3801e-11,19.991,-0.9743,8.8246e-06,19.486,0.031383,1,0.185,95.185,0,5
0.0089566,2.8596e-08,-0.00056546,-0.9732,19.485,9.4757e-06,0.03081,-1.1097e-11,-1.3694e-11,19.99,-0.97326,9.4757e-06,19.485,0.031439,1,0.19,95.19,0,5
0.0089565,2.8594e-08,-0.00056546,-0.97216,19.484,1.0096e-05,0.029204,-1.1433e-11,-1.3587e-11,19.988,-0.97221,1.0096e-05,19.484,0.031496,1,0.195,95.195,0,5
0.0089563,2.8591e-08,-0.00056546,-0.97112,19.483,1.0685e-05,0.027581,-1.177e-11,-1.3481e-11,19.987,-0.97116,1.0685e-05,19.483,0.031553,1,0.2,95.2,0,5
0.0089562,2.8588e-08,-0.00056546,-0.97008,19.482,1.1246e-05,0.025941,-1.2107e-11,-1.3376e-11,19.985,-0.97012,1.1246e-05,19.482,0.031609,1,0.205,95.205,0,5
0.008956,2.8585e-08,-0.00056546,-0.96903,19.481,1.1776e-05,0.024287,-1.2443e-11,-1.3271e-11,19.983,-0.96907,1.1776e-05,19.481,0.031666,1,0.21,95.21,0,5
0.0089559,2.8582e-08,-0.00056546,-0.96799,19.48,1.2275e-05,0.022617,-1.2779e-11,-1.3168e-11,19.982,-0.96802,1.2275e-05,19.48,0.031722,1,0.215,95.215,0,5
0.0089557,2.8579e-08,-0.00056546,-0.96695,19.479,1.2745e-05,0.020929,-1.3116e-11,-1.3064e-11,19.98,-0.96697,1.2745e-05,19.479,0.031779,1,0.22,95.22,0,5
0.0089556,2.8577e-08,-0.00056546,-0.9659,19.478,1.3184e-05,0.019228,-1.3452e-11,-1.2962e-11,19.979,-0.96592,1.3184e-05,19.478,0.031836,1,0.225,95.225,0,5
0.0089554,2.8574e-08,-0.00056546,-0.96485,19.477,1.3594e-05,0.017508,-1.3789e-11,-1.286e-11,19.977,-0.96487,1.3594e-05,19.477,0.031892,1,0.23,95.23,0,5
0.0089553,2.8571e-08,-0.00056546,-0.96381,19.476,1.3973e-05,0.015775,-1.4125e-11,-1.276e-11,19.975,-0.96382,1.3973e-05,19.476,0.031949,1,0.235,95.235,0,5
0.0089551,2.8568e-08,-0.00056546,-0.96276,19.475,1.4322e-05,0.014026,-1.4462e-11,-1.2659e-11,19.974,-0.96277,1.4322e-05,19.475,0.032005,1,0.24,95.24,0,5
0.008955,2.8565e-08,-0.00056546,-0.96171,19.474,1.4641e-05,0.012259,-1.4798e-11,-1.256e-11,19.972,-0.96172,1.4641e-05,19.474,0.032062,1,0.245,95.245,0,5
0.0089548,2.8563e-08,-0.00056546,-0.96066,19.473,1.4929e-05,0.010478,-1.5134e-11,-1.2461e-11,19.97,-0.96067,1.4929e-05,19.473,0.032119,1,0.25,95.25,0,5
0.0089546,2.8703e-08,-0.00056546,-0.95956,19.472,1.3911e-05,0.0098577,-1.4954e-11,-1.2348e-11,19.969,-0.95956,1.3911e-05,19.472,0.032119,1,0.255,95.255,0,5
